"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"AUW00034165","VIENNA, AU","1949","228","11","2","2","4","3.1","1.35","94",,"23.39","6.1","49.9","58.8","40.9"
"AUW00034165","VIENNA, AU","1950","425","46","13","-2","14","7.5","3.01","99","5673","23.07","43.3","49.7","58.7","40.8"
"AUW00034165","VIENNA, AU","1951","277","6","1","19","3","3.1","2.21","93","5948","24.17","5.8","50.1","58.6","41.4"
"AUW00034165","VIENNA, AU","1952","341","45","12","2","19","5.1","0.86","100","5909","20.12","37.6","48.3","56.8","39.7"
"AUW00034165","VIENNA, AU","1953","279","47","18","-1","9","5.1","2.90","91","6461","24.14","37.4","49.4","58.7","40.2"
"AUW00034165","VIENNA, AU","1954",,,,,,,,,"6484",,,,,
"AU000005901","WIEN, AU","1856","442",,,"7",,,,"95","5841",,,"49.8","58.1","41.6"
"AU000005901","WIEN, AU","1857","624",,,"4",,,,"99","6412",,,"50.5","58.0","43.0"
"AU000005901","WIEN, AU","1858","429",,,"2",,,,"94","6201",,,"48.3","56.0","40.6"
"AU000005901","WIEN, AU","1859","654",,,"7",,,,"99","5433",,,"51.5","59.0","44.1"
"AU000005901","WIEN, AU","1860","303",,,"10",,,,"95","5918",,,"49.2","56.3","42.1"
"AU000005901","WIEN, AU","1861",,,,,,,,,"6211",,,,,
"AU000005901","WIEN, AU","1863","612",,,"15",,,,"96",,,,"53.0","60.7","45.2"
"AU000005901","WIEN, AU","1864","293",,,"-3",,,,"90","6084",,,"46.8","54.0","39.6"
"AU000005901","WIEN, AU","1865","587",,,"7",,,,"94","6648",,,"49.9","57.2","42.6"
"AU000005901","WIEN, AU","1866","418",,,"13",,,,"92","5374",,,"51.0","58.8","43.2"
"AU000005901","WIEN, AU","1867","473",,,"8",,,,"94","5756",,,"49.7","57.0","42.5"
"AU000005901","WIEN, AU","1868","626",,,"8",,,,"91","5766",,,"52.2","59.4","45.1"
"AU000005901","WIEN, AU","1869","485",,,"3",,,,"96","5203",,,"51.2","58.3","44.1"
"AU000005901","WIEN, AU","1870","465",,,"-4",,,,"95","6240",,,"48.1","54.7","41.6"
"AU000005901","WIEN, AU","1871","399",,,"3",,,,"91","6426",,,"47.4","54.5","40.4"
"AU000005901","WIEN, AU","1872","303",,,"15",,,,"94","6009",,,"51.8","59.1","44.4"
"AU000005901","WIEN, AU","1873","427",,,"14",,,,"95","5582",,,"50.3","57.7","42.9"
"AU000005901","WIEN, AU","1874","324",,,"14",,,,"91","5947",,,"48.5","55.8","41.1"
"AU000005901","WIEN, AU","1875","327",,,"1",,,,"92","6646",,,"47.0","54.2","39.8"
"AU000005901","WIEN, AU","1876","265",,,"6",,,,"87","6705",,,"47.9","54.8","40.9"
"AU000005901","WIEN, AU","1877","370",,,"7",,,,"95","6219",,,"48.8","56.0","41.5"
"AU000005901","WIEN, AU","1878","148",,,"7",,,,"89","6096",,,"49.1","56.2","42.0"
"AU000005901","WIEN, AU","1879","220",,,"-4",,,,"90","6216",,,"47.0","54.0","40.0"
"AU000005901","WIEN, AU","1880","264",,,"10",,,,"90","6809",,,"49.6","57.0","42.2"
"AU000005901","WIEN, AU","1881","357",,,"2",,,,"92","6213",,,"47.3","54.0","40.5"
"AU000005901","WIEN, AU","1882","204",,,"11",,,,"96","5921",,,"50.2","57.5","42.9"
"AU000005901","WIEN, AU","1883","273",,,"11",,,,"93","6252",,,"48.4","55.0","41.7"
"AU000005901","WIEN, AU","1884","228",,,"15",,,,"92","5912",,,"49.2","56.3","42.1"
"AU000005901","WIEN, AU","1885","301",,,"6",,,,"90","6087",,,"49.1","56.6","41.7"
"AU000005901","WIEN, AU","1886","359",,,"3",,,,"91","6468",,,"49.0","56.0","41.9"
"AU000005901","WIEN, AU","1887","368",,,"3",,,,"93","6239",,,"47.6","54.4","40.8"
